,City,Lat,Lng,Max Temp,Humidity,Wind,Cloudiness,Country,Date
0,Busselton,-33.65,115.3333,14.02,82,5.08,99,AU,1666637094
1,Pallasovka,50.05,46.8833,8.7,98,2.54,100,RU,1666636904
2,Lebu,-37.6167,-73.65,14.46,75,3.81,7,CL,1666636831
3,Tuktoyaktuk,69.4541,-133.0374,-10.0,79,2.06,75,CA,1666637095
4,Düzce,40.8389,31.1639,14.39,75,1.68,0,TR,1666637095
5,Hunchun,42.8675,130.3581,0.58,64,1.17,0,CN,1666637096
6,Pangnirtung,66.1451,-65.7125,-5.0,68,8.75,75,CA,1666637096
7,Nefteyugansk,61.0998,72.6035,0.88,71,8.1,100,RU,1666636855
8,Denpasar,-8.65,115.2167,26.81,88,5.14,75,ID,1666637044
9,Punta Arenas,-53.15,-70.9167,10.01,76,8.23,75,CL,1666636877
10,Songjianghe,42.1859,127.479,-2.87,68,1.88,0,CN,1666637098
